time;x;y;fx;fy
63;120;-116;0;281
126;120;-106;0;281
189;120;-102;0;281
252;120;-97;0;281
315;120;-92;0;362
378;120;-89;0;362
441;120;-81;0;362
504;120;-78;0;362
567;120;-74;0;362
630;120;-70;0;181
693;120;-65;0;181
756;120;-63;0;181
819;120;-60;0;181
882;120;-58;0;181
945;120;-52;0;361
1008;120;-48;0;361
1071;120;-44;0;361
1134;120;-41;0;361
1197;120;-33;0;361
1260;120;-30;0;415
1323;120;-26;0;415
1386;120;-22;0;415
1449;120;-15;0;415
1512;120;-11;0;415
1575;120;-8;0;415
1638;120;-4;0;332
1701;120;2;0;332
1764;120;6;0;332
1827;120;10;0;332
1890;120;13;0;332
1953;120;20;0;347
2016;120;24;0;347
2079;120;28;0;347
2142;120;31;0;347
2205;120;39;0;322
2268;120;42;0;322
2331;120;46;0;322
2394;120;50;0;322
2457;120;57;0;322
2520;120;61;0;323
2583;120;64;0;323
2646;120;72;0;323
2709;120;75;0;323
2772;120;79;0;323
2835;120;83;0;277
2898;120;92;0;277
2961;120;97;0;277
3024;120;102;0;277
3087;120;107;0;277
3150;120;113;0;139
3213;120;115;0;139
3276;120;117;0;139
3339;120;119;0;139
3402;120;123;0;139
3465;120;124;0;0
3528;120;124;0;0
3591;120;124;0;0
3654;120;124;0;0
3717;120;124;0;0
3780;120;124;0;0
3843;120;124;0;0
3906;120;124;0;0
3969;120;124;0;0
4032;120;124;0;0
4095;120;124;0;0
4158;120;124;0;0
4221;120;124;-44;0
4284;120;124;-44;0
4347;120;124;-44;0
4410;120;124;-44;0
4473;120;124;-44;-37
4536;120;124;-98;-37
4599;120;124;-98;-37
4662;120;124;-98;-37
4725;120;124;-98;-37
4788;120;124;-98;-59
4851;120;124;-202;-59
4914;117;124;-202;-59
4977;111;124;-202;-59
5040;108;124;-202;-59
5103;105;124;-202;-121
5166;98;121;-212;-121
5229;95;119;-212;-121
5292;92;117;-212;-121
5355;88;116;-212;-121
5418;82;111;-212;-202
5481;81;108;-69;-202
5544;81;105;-69;-202
5607;81;101;-69;-202
5670;81;95;-69;-202
5733;81;93;-69;-147
5796;80;90;-115;-147
5859;78;88;-115;-147
5922;75;84;-115;-147
5985;74;82;-115;-147
6048;72;81;-115;-57
6111;70;81;-226;-57
6174;62;81;-226;-57
6237;58;81;-226;-57
6300;55;81;-226;-57
6363;51;80;-226;-246
6426;49;71;-43;-246
6489;49;67;-43;-246
6552;49;62;-43;-246
6615;49;57;-43;-246
6678;49;50;0;-183
6741;49;48;0;-183
6804;49;45;0;-183
6867;49;43;0;-183
6930;49;38;0;-33
6993;49;38;-75;-33
7056;49;38;-75;-33
7119;49;38;-75;-33
7182;49;38;-75;-33
7245;49;38;-75;-261
7308;49;33;-75;-261
7371;49;28;-76;-261
7434;49;24;-76;-261
7497;49;14;-76;-261
7560;49;9;-76;-261
7623;49;8;-76;-80
7686;49;8;-96;-80
7749;49;8;-96;-80
7812;49;8;-96;-80
7875;49;8;-96;-80
7938;49;8;-96;0
8001;39;8;-282;0
8064;34;8;-282;0
8127;29;8;-282;0
8190;23;8;-282;0
8253;13;8;-262;0
8316;9;8;-262;0
8379;5;8;-262;0
8442;1;8;-262;0
8505;-6;7;-262;-204
8568;-8;3;0;-204
8631;-8;0;0;-204
8694;-8;-2;0;-204
8757;-8;-9;0;-204
8820;-8;-11;0;-96
8883;-8;-11;-71;-96
8946;-8;-11;-71;-96
9009;-8;-11;-71;-96
9072;-8;-11;-71;-96
9135;-8;-11;-71;-67
9198;-8;-11;-344;-67
9261;-16;-11;-344;-67
9324;-20;-11;-344;-67
9387;-24;-11;-344;-67
9450;-28;-11;-344;-215
9513;-33;-18;-132;-215
9576;-34;-21;-132;-215
9639;-36;-25;-132;-215
9702;-38;-28;-132;-215
9765;-41;-34;-132;-149
9828;-42;-36;-66;-149
9891;-42;-38;-66;-149
9954;-42;-40;-66;-149
10017;-42;-44;-66;-149
10080;-42;-46;-66;-149
10143;-45;-48;-282;-145
10206;-50;-50;-282;-145
10269;-60;-54;-282;-145
10332;-64;-56;-282;-145
10395;-69;-58;-282;-145
10458;-73;-60;-194;-230
10521;-79;-67;-194;-230
10584;-83;-70;-194;-230
10647;-86;-73;-194;-230
10710;-89;-77;-194;-230
10773;-91;-85;-69;-257
10836;-91;-90;-69;-257
10899;-91;-95;-69;-257
10962;-91;-104;-69;-257
11025;-92;-108;-144;-77
11088;-94;-108;-144;-77
11151;-96;-108;-144;-77
11214;-100;-108;-144;-77
11277;-102;-108;-144;-77
11340;-104;-108;-243;-68
11403;-108;-108;-243;-68
11466;-115;-108;-243;-68
11529;-119;-108;-243;-68
11592;-123;-108;-243;-68
11655;-127;-108;-26;-59
11718;-127;-108;-26;-59
11781;-127;-108;-26;-59
11844;-127;-108;-26;-59
11907;-127;-108;-26;-59
11970;-127;-108;-26;-59
12033;-127;-108;0;-75
12096;-127;-108;0;-75
12159;-127;-108;0;-75
12222;-127;-108;0;-75
12285;-124;-108;313;-53
12348;-121;-108;313;-53
12411;-117;-108;313;-53
12474;-110;-108;313;-53
12537;-106;-108;313;-53
12600;-103;-108;692;-40
12663;-99;-108;692;-40
12726;-92;-108;692;-40
12789;-88;-108;692;-40
12852;-84;-108;692;-40
12915;-77;-108;535;0
12978;-73;-108;535;0
13041;-70;-108;535;0
13104;-66;-108;535;0
13167;-59;-108;608;-30
13230;-55;-108;608;-30
13293;-52;-108;608;-30
13356;-48;-108;608;-30
13419;-44;-108;608;-30
13482;-37;-108;821;-61
13545;-33;-108;821;-61
13608;-30;-108;821;-61
13671;-26;-108;821;-61
13734;-19;-108;821;-61
13797;-15;-108;1035;-49
13860;-18;-108;1035;-49
13923;-25;-108;1035;-49
13986;-29;-108;1035;-49
14049;-32;-108;1035;-49
14112;-36;-108;1035;-49
14175;-30;-108;1226;-41
14238;-30;-108;1226;-41
14301;-24;-108;1226;-41
14364;-20;-108;1226;-41
14427;-17;-108;1226;-41
14490;-10;-108;1322;-52
14553;-6;-108;1322;-52
14616;-3;-108;1322;-52
14679;0;-108;1322;-52
14742;2;-108;1152;-51
14805;-1;-108;1152;-51
14868;-11;-108;1152;-51
14931;-11;-108;1152;-51
14994;-20;-108;1152;-51
15057;-24;-108;1139;-39
15120;-28;-108;1139;-39
15183;-32;-108;1139;-39
15246;-39;-108;1139;-39
15309;-42;-108;1139;-39
15372;-44;-108;1288;-39
15435;-40;-108;1288;-27
15498;-33;-108;1288;-27
15561;-29;-108;1288;33
15624;-25;-108;1288;33
15687;-21;-108;118;33
15750;-19;-108;118;33
15813;-18;-108;118;33
15876;-16;-108;118;62
15939;-15;-108;118;62
16002;-13;-108;0;62
16065;-13;-108;0;62
16128;-13;-108;0;62
16191;-13;-108;0;62
16254;-13;-108;0;39
16317;-13;-108;89;39
16380;-13;-108;89;39
16443;-13;-108;89;39
16506;-13;-108;89;39
16569;-13;-108;89;0
16632;-11;-108;561;0
16695;-7;-108;561;0
16758;0;-108;561;0
16821;3;-108;561;0
16884;7;-108;561;0
16947;12;-108;167;0
17010;12;-108;167;0
17073;17;-108;167;0
17136;20;-108;167;28
17199;22;-108;167;28
17262;24;-108;137;28
17325;28;-108;137;28
17388;30;-108;137;28
17451;32;-108;137;0
17514;36;-108;124;0
17577;38;-108;124;0
17640;40;-108;124;0
17703;41;-108;124;0
17766;43;-108;124;0
17829;46;-108;185;0
17892;49;-108;185;0
17955;51;-108;185;0
18018;57;-108;185;0
18081;59;-108;185;0
18144;62;-108;205;0
18207;68;-108;205;0
18270;71;-108;205;0
18333;74;-108;205;0
18396;81;-108;205;0
18459;81;-108;205;0
18522;81;-108;105;0
18585;81;-108;105;0
18648;81;-108;105;0
18711;81;-108;105;0
18774;84;-108;531;0
18837;87;-108;531;-39
18900;91;-108;531;-39
18963;95;-108;531;-39
19026;102;-108;531;-39
19089;103;-108;51;-39
19152;103;-108;51;0
19215;103;-108;51;0
19278;103;-108;51;0
19341;103;-108;51;0
19404;106;-108;145;-31
19467;106;-108;145;-31
19530;110;-108;145;-31
19593;112;-108;145;-31
19656;114;-108;145;-31
19719;116;-108;100;0
19782;116;-108;100;0
19845;116;-108;100;0
19908;116;-108;100;0
19971;116;-108;100;0
20034;116;-108;0;0
20097;116;-108;-46;0
20160;116;-108;-46;0
20223;116;-108;-46;0
20286;116;-108;-46;0
20349;116;-108;-46;0
20412;116;-108;-193;0
20475;113;-108;-193;0
20538;107;-108;-193;26
20601;104;-108;-193;26
20664;101;-108;-193;26
20727;95;-108;-220;26
20790;91;-108;-220;26
20853;88;-106;-220;180
20916;84;-104;-220;180
20979;81;-101;-220;180
21042;77;-96;0;180
21105;77;-94;0;180
21168;77;-90;0;575
21231;77;-87;0;575
21294;77;-79;0;575
21357;77;-76;-56;575
21420;77;-72;-56;575
21483;77;-63;-56;259
21546;77;-63;-56;259
21609;77;-54;-56;259
21672;75;-50;-288;259
21735;68;-44;-288;0
21798;68;-44;-288;0
21861;61;-44;-288;0
21924;57;-44;-288;0
21987;49;-44;-394;0
22050;49;-44;-394;0
