x;y
-115;-106
-110;-106
-107;-106
-105;-106
-102;-106
-96;-106
-93;-106
-90;-106
-86;-106
-83;-106
-80;-106
-80;-106
-80;-106
-80;-106
-80;-106
-77;-106
-73;-106
-70;-106
-63;-106
-59;-106
-55;-106
-48;-106
-48;-106
-41;-106
-37;-106
-30;-106
-30;-106
-22;-106
-19;-106
-15;-106
-8;-106
-4;-106
0;-106
6;-106
10;-106
13;-106
17;-106
24;-106
28;-106
32;-106
35;-106
42;-106
46;-106
50;-107
54;-108
63;-111
67;-112
71;-114
74;-114
82;-114
85;-114
89;-114
96;-114
96;-114
104;-114
109;-114
119;-114
123;-114
128;-114
129;-114
129;-114
129;-114
129;-114
129;-114
129;-114
129;-114
129;-114
129;-114
