x;y
120;124
120;124
120;124
120;124
120;124
120;124
120;124
120;124
120;124
120;124
120;122
120;117
120;115
120;112
120;110
120;108
120;108
120;108
120;108
120;108
119;108
116;108
114;108
109;108
107;108
105;108
102;108
97;108
95;108
93;108
91;108
91;103
91;100
91;98
91;95
91;91
91;89
91;87
91;85
91;80
89;80
87;80
84;80
80;80
77;80
75;80
73;80
69;80
67;80
65;80
64;78
64;72
64;68
64;65
64;62
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;60
64;55
64;53
64;50
64;48
64;46
64;45
64;45
64;45
64;45
64;45
64;45
64;45
64;45
64;45
64;45
64;45
62;45
60;45
57;45
55;45
54;45
54;45
54;45
54;45
54;45
54;44
54;38
54;34
54;31
54;24
52;24
49;24
47;24
45;24
40;24
37;24
35;24
33;24
28;24
26;24
25;22
25;17
25;15
25;12
25;10
25;8
25;8
25;8
25;8
24;8
22;8
20;8
16;8
14;8
12;8
11;8
11;8
11;8
11;8
11;8
11;8
11;8
11;8
11;8
11;8
11;8
7;8
6;8
4;8
2;8
0;8
0;8
0;8
0;8
0;7
0;6
0;4
0;1
0;0
0;-1
0;-5
0;-7
0;-9
0;-11
0;-13
-3;-13
-5;-13
-7;-13
-12;-13
-14;-13
-14;-13
-14;-13
-14;-13
-14;-13
-14;-16
-14;-19
-14;-22
-14;-26
-14;-32
-14;-32
-16;-32
-20;-32
-22;-32
-24;-32
-26;-32
-30;-32
-33;-32
-35;-32
-37;-32
-41;-37
-41;-39
-41;-42
-41;-47
-41;-48
-42;-48
-43;-48
-45;-48
-48;-48
-49;-49
-51;-50
-54;-53
-56;-55
-58;-56
-60;-58
-61;-60
-61;-63
-61;-68
-61;-71
-61;-73
-63;-73
-65;-73
-67;-73
-69;-73
-72;-75
-75;-76
-77;-78
-81;-82
-83;-83
-85;-86
-85;-88
-85;-91
-85;-96
-85;-98
-87;-99
-90;-99
-93;-99
-96;-99
-102;-99
-105;-100
-108;-102
-112;-104
-118;-108
-122;-110
-124;-111
-124;-111
-124;-111
-124;-111
-124;-111
-124;-111
-124;-111
-124;-111
-124;-111
-124;-111
-124;-111
