x;y
146;-112
146;-112
146;-112
146;-112
146;-112
146;-112
146;-112
146;-112
146;-112
146;-112
145;-112
144;-112
141;-112
136;-112
134;-112
132;-112
130;-112
128;-112
126;-112
125;-111
125;-106
125;-101
125;-92
122;-84
119;-84
117;-84
112;-84
110;-84
104;-84
98;-84
95;-84
93;-84
93;-76
93;-73
93;-69
90;-62
87;-61
84;-61
81;-61
75;-61
72;-61
69;-61
65;-61
61;-61
54;-61
48;-59
48;-52
48;-48
48;-45
48;-41
46;-39
43;-39
41;-39
39;-39
35;-39
32;-39
30;-39
25;-39
23;-35
23;-32
23;-28
23;-24
23;-17
23;-12
23;-10
23;-9
23;-7
21;-7
17;-7
14;-7
10;-7
9;-1
9;1
9;5
9;8
9;15
9;20
9;25
9;29
9;39
6;39
3;36
1;34
0;33
-1;32
-4;32
-6;32
-7;32
-9;32
-10;32
-10;39
-10;42
-10;45
-10;52
-16;52
-22;52
-28;52
-31;52
-33;52
-36;52
-39;52
-45;52
-46;52
-46;52
-46;52
-46;52
-47;52
-50;52
-52;52
-53;52
-55;52
-60;52
-64;52
-69;52
-71;52
-71;53
-71;56
-71;63
-71;66
-71;69
-71;73
-71;76
-71;84
-71;87
-71;91
-71;95
-75;95
-77;95
-79;95
-80;95
-83;95
-83;95
-83;95
-83;95
-83;95
-83;95
-83;103
-83;106
-83;110
-83;113
-83;115
-83;115
-83;115
-83;115
-83;115
-83;115
-83;115
-83;115
-83;115
-87;115
-90;117
-93;119
-96;122
-103;126
-105;128
-107;128
-111;128
-114;128
