x;y
-104;-130
-104;-125
-104;-121
-104;-116
-104;-106
-104;-102
-104;-101
-100;-101
-95;-101
-86;-101
-81;-101
-72;-101
-69;-101
-65;-101
-61;-101
-58;-101
-50;-101
-47;-101
-39;-101
-39;-101
-36;-101
-28;-101
-25;-101
-18;-101
-14;-101
-10;-102
-6;-104
-2;-106
2;-108
10;-112
14;-114
23;-118
27;-121
31;-123
40;-127
43;-127
47;-127
51;-127
54;-127
58;-127
65;-127
69;-127
76;-127
80;-127
80;-127
87;-127
87;-127
83;-127
76;-127
72;-127
65;-127
65;-127
69;-127
73;-127
76;-127
80;-127
87;-127
91;-127
95;-127
102;-127
102;-127
109;-127
109;-127
109;-127
109;-127
109;-127
109;-127
109;-127
109;-127
109;-127
109;-127
109;-127
113;-127
118;-127
127;-127
132;-127
136;-127
144;-127
147;-127
151;-127
158;-127
160;-127
160;-127
160;-127
160;-127
160;-127
160;-127
160;-127
160;-127
