x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-118
120;-117
120;-115
120;-111
120;-110
120;-107
120;-104
120;-98
120;-94
120;-91
120;-87
120;-85
120;-83
120;-82
120;-78
120;-77
120;-75
120;-73
120;-71
120;-68
120;-66
120;-64
120;-60
120;-58
120;-56
120;-54
120;-52
120;-48
120;-46
120;-44
120;-42
120;-39
120;-37
120;-35
120;-33
120;-29
120;-27
120;-25
120;-23
120;-18
120;-13
120;-8
120;0
120;5
120;8
120;11
120;16
120;18
120;21
120;23
120;26
120;28
120;30
120;34
120;36
120;38
120;43
120;46
120;48
120;51
120;56
120;59
120;61
120;64
120;66
120;70
120;72
120;74
120;76
120;78
120;81
120;82
120;83
120;85
120;89
120;91
120;93
120;95
120;99
120;102
120;105
120;112
120;115
120;118
120;121
120;121
120;121
120;121
120;121
120;121
