x;y
-117;130
-117;130
-117;130
-117;130
-117;130
-117;130
-117;130
-117;130
-117;130
-117;130
-117;130
-117;125
-117;121
-117;111
-117;107
-117;102
-117;97
-117;88
-117;83
-117;78
-117;73
-117;71
-117;71
-117;71
-117;71
-117;69
-117;66
-117;62
-117;58
-117;51
-117;47
-117;44
-117;40
-117;33
-117;29
-117;26
-117;18
-117;15
-117;11
-117;8
-117;1
-117;-1
-117;-5
-117;-8
-117;-15
-117;-15
-117;-21
-117;-25
-117;-28
-117;-31
-117;-39
-117;-44
-117;-49
-117;-58
-117;-63
-117;-67
-117;-72
-117;-72
-117;-77
-117;-80
-117;-82
-117;-86
-117;-88
-117;-90
-117;-94
-117;-97
-117;-100
-117;-102
-117;-105
-117;-107
-117;-112
-117;-114
-117;-116
-117;-118
-117;-122
-117;-122
-117;-122
-117;-122
-117;-122
-117;-122
-117;-122
-117;-122
-117;-122
-117;-122
