x;y
-111;113
-111;113
-111;113
-111;113
-111;113
-111;113
-111;113
-111;113
-111;113
-111;113
-111;113
-111;113
-111;113
-111;113
-111;113
-111;113
-110;113
-104;113
-102;113
-99;113
-97;113
-90;113
-86;113
-83;113
-79;113
-73;113
-71;113
-69;113
-68;113
-64;113
-62;113
-58;113
-51;113
-47;113
-44;113
-40;113
-37;113
-34;113
-27;113
-21;113
-17;113
-14;113
-11;113
-5;113
-1;113
0;113
5;113
10;113
13;113
16;113
24;113
27;113
31;113
35;113
42;113
46;113
49;113
60;113
64;113
68;113
71;113
79;113
82;113
90;113
97;113
100;113
104;113
114;113
120;113
126;113
130;113
132;113
136;113
136;113
136;113
136;113
136;113
136;113
136;113
136;113
