;time;x;y;fx;fy
;63;120;-122;0;-120
;126;120;-122;0;-120
;189;120;-125;0;-117
;252;120;-126;0;-117
;315;120;-128;0;-117
;378;120;-129;0;-117
;441;120;-130;0;-117
;504;120;-130;0;-26
;567;120;-130;0;-26
;630;120;-130;0;-26
;693;120;-130;0;-26
;756;120;-130;0;-26
;819;120;-130;0;0
;882;120;-130;0;0
;945;120;-130;0;0
;1008;120;-130;0;0
;1071;120;-130;0;0
;1134;120;-130;0;-27
;1197;120;-130;0;-27
;1260;120;-130;0;-27
;1323;120;-130;0;51
;1386;120;-130;0;51
;1449;120;-130;0;51
;1512;120;-130;0;51
;1575;120;-130;0;51
;1638;120;-128;0;239
;1701;120;-121;0;239
;1764;120;-117;0;239
;1827;120;-114;0;239
;1890;120;-110;0;239
;1953;120;-102;0;281
;2016;120;-97;0;281
;2079;120;-92;0;281
;2142;120;-87;0;281
;2205;120;-78;0;155
;2268;120;-76;0;155
;2331;120;-74;0;155
;2394;120;-72;0;155
;2457;120;-67;0;155
;2520;120;-65;0;155
;2583;120;-61;0;264
;2646;120;-56;0;264
;2709;120;-47;0;264
;2772;120;-42;0;264
;2835;120;-37;0;264
;2898;120;-35;0;141
;2961;120;-31;0;141
;3024;120;-29;0;141
;3087;120;-27;0;141
;3150;120;-25;0;141
;3213;120;-19;0;227
;3276;120;-15;0;227
;3339;120;-12;0;227
;3402;120;-9;0;227
;3465;120;-1;0;264
;3528;120;2;0;264
;3591;120;7;0;264
;3654;120;12;0;264
;3717;120;21;0;264
;3780;120;25;0;120
;3843;120;27;0;120
;3906;120;28;0;120
;3969;120;32;0;120
;4032;120;33;0;120
;4095;120;35;0;274
;4158;120;40;0;274
;4221;120;50;0;274
;4284;120;54;0;274
;4347;120;59;0;274
;4410;120;64;0;149
;4473;120;68;0;149
;4536;120;70;0;149
;4599;120;72;0;149
;4662;120;74;0;149
;4725;120;78;0;166
;4788;120;81;0;166
;4851;120;83;0;166
;4914;120;88;0;166
;4977;120;91;0;166
;5040;120;93;0;159
;5103;120;96;0;159
;5166;120;98;0;159
;5229;120;103;0;159
;5292;120;106;0;159
;5355;120;107;0;57
;5418;120;107;0;57
;5481;120;107;0;57
;5544;120;107;0;57
;5607;120;107;0;57
;5670;120;107;0;51
;5733;120;107;0;51
;5796;120;107;0;51
;5859;120;107;0;51
;5922;120;107;0;51
;5985;116;107;-191;0
;6048;113;106;-191;-111
;6111;110;105;-191;-111
;6174;107;103;-191;-111
;6237;101;101;-267;-111
;6300;96;99;-267;-111
;6363;91;98;-267;-87
;6426;87;98;-267;-87
;6489;78;98;-267;-87
;6552;74;98;-48;-87
